Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62,0.862804623992323,0.0,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000
POST,/web/index.php/auth/validate,100,0,33000.0,33183.06271534,27780.201434,38436.717044,6790.0,0.862804623992323,0.0,33000,34000,35000,37000,37000,38000,38000,38000,38000,38000,38000
GET,API: Get Leave Requests,196,0,8400.0,14870.986751173476,4257.568796999991,57448.22933100001,13323.0,1.691097063024953,0.0,8400,14000,19000,23000,34000,38000,43000,54000,57000,57000,57000
GET,Page: View Leave List,247,0,6900.0,11397.668540299599,5295.589673000002,53571.725345000006,8874.0,2.131127421261038,0.0,6900,7200,13000,16000,26000,34000,40000,43000,54000,54000,54000
,Aggregated,643,0,7800.0,14765.185459104197,1428.4836190000005,57448.22933100001,9063.993779160186,5.547833732270637,0.0,7800,15000,25000,31000,34000,37000,39000,43000,57000,57000,57000
