Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,127,0,3400.0,6419.793588716536,619.6650310000002,65191.752616000005,3457.968503937008,0.9658781707809719,0.0,3400,5200,6000,6700,15000,28000,43000,51000,65000,65000,65000
POST,/web/index.php/auth/validate,63,0,14000.0,15217.158031682538,1756.773698,48073.397485,6790.0,0.4791364154267813,0.0,14000,18000,24000,26000,29000,31000,37000,48000,48000,48000,48000
POST,API: Create Employee,101,0,3400.0,5294.74118610891,648.3464479999999,54549.937375000016,145.16831683168317,0.768139332668332,0.0,3400,4800,6400,6700,7800,9100,27000,31000,55000,55000,55000
GET,API: Search Employee,71,0,5800.0,6650.337959014082,1102.3319380000007,32551.346414999996,10556.915492957747,0.5399791348460552,0.0,5800,6800,8800,10000,12000,16000,18000,33000,33000,33000,33000
GET,Page: Add Employee,116,0,4200.0,5616.406464155174,612.9240060000001,40584.568973,7423.0,0.8822194315794704,0.0,4200,5500,7100,7500,9400,13000,32000,32000,41000,41000,41000
GET,Page: View Employee List,89,0,4100.0,5489.711448797752,825.5205559999989,32233.004423,7341.0,0.6768752535394212,0.0,4100,5300,6900,7400,8300,13000,32000,32000,32000,32000,32000
,Aggregated,567,0,4300.0,6915.388122460321,612.9240060000001,65191.752616000005,5547.710758377425,4.312227738841032,0.0,4300,6100,7500,8300,16000,27000,32000,41000,65000,65000,65000
