Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,20,0,810.0,925.3590270999999,645.2625769999987,1905.0318280000004,3458.7,0.06818590776138543,0.0,850,930,970,990,1800,1900,1900,1900,1900,1900,1900
POST,/web/index.php/auth/validate,20,0,3000.0,2900.6540589000006,1839.1436550000008,3812.870285999999,6790.0,0.06818590776138543,0.0,3000,3200,3500,3500,3700,3800,3800,3800,3800,3800,3800
POST,API: Create Employee,448,0,1100.0,2508.5485734196445,515.5884260000007,40993.646867999996,145.20535714285714,1.5273643338550338,0.0,1100,2800,3700,4000,5200,5900,8000,9600,41000,41000,41000
GET,API: Search Employee,440,0,1100.0,3107.559242502272,514.3103159999996,47192.963660999994,3363.4772727272725,1.5000899707504796,0.0,1200,3700,4500,5300,7000,8500,11000,17000,47000,47000,47000
GET,Page: Add Employee,452,0,1100.0,2482.242425776548,521.9117959999977,36804.502568,7423.0,1.5410015154073107,0.0,1100,2900,3900,4200,5600,6800,8000,9600,37000,37000,37000
GET,Page: View Employee List,444,0,1200.0,2617.5867693873874,528.2492629999992,39374.689271,7341.0,1.5137271523027567,0.0,1200,3000,4000,4500,5900,6800,8200,9000,39000,39000,39000
,Aggregated,1824,0,1100.0,2660.0099733399115,514.3103159999996,47192.963660999994,4585.831140350877,6.218554787838351,0.0,1100,3000,4000,4400,5800,7100,8700,11000,42000,47000,47000
