Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,100,0,3400.0,3580.0676142599987,1048.8992799999987,7565.651923999999,3460.7,0.8888910778711796,0.0,3400,4300,5100,5300,5600,6600,7400,7600,7600,7600,7600
POST,/web/index.php/auth/validate,100,0,31000.0,30836.89760046,26901.994350999998,34441.49792,6790.0,0.8888910778711796,0.0,31000,32000,32000,33000,33000,34000,34000,34000,34000,34000,34000
POST,API: Create Employee,96,0,15000.0,19680.680989479162,4959.686423999998,67431.038458,145.61458333333334,0.8533354347563323,0.0,16000,23000,27000,29000,41000,53000,61000,67000,67000,67000,67000
GET,API: Search Employee,17,0,28000.0,30151.967929411763,19515.702015999992,53630.00729699999,6808.117647058823,0.15111148323810053,0.0,28000,35000,35000,35000,40000,54000,54000,54000,54000,54000,54000
GET,Page: Add Employee,102,0,6600.0,9778.742503362748,5954.2144260000005,54093.175388,7423.0,0.9066688994286032,0.0,6600,6900,10000,12000,16000,26000,31000,43000,54000,54000,54000
GET,Page: View Employee List,71,0,30000.0,30683.007892436617,13738.564179000008,64201.572456999995,7341.0,0.6311126652885375,0.0,30000,33000,39000,40000,46000,48000,61000,64000,64000,64000,64000
,Aggregated,486,0,16000.0,18558.746187176952,1048.8992799999987,67431.038458,5006.469135802469,4.320010638453932,0.0,16000,28000,30000,31000,34000,41000,51000,58000,67000,67000,67000
