Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,200,0,6900.0,30783.76757222,638.9225450000002,146123.667116,3458.74,0.6803029582458444,0.0,6900,44000,58000,64000,92000,106000,113000,136000,146000,146000,146000
POST,/web/index.php/auth/validate,80,0,15000.0,46282.442215075,1662.1482299999998,237246.36018300004,6790.0,0.2721211832983378,0.0,15000,27000,36000,86000,192000,217000,236000,237000,237000,237000,237000
GET,API: Get Leave Requests,221,0,6500.0,25818.675623438914,694.4823850000006,162222.592624,13323.0,0.751734768861658,0.0,6500,11000,21000,46000,93000,123000,147000,152000,162000,162000,162000
GET,Page: View Leave List,251,0,5200.0,20325.855636258966,582.734238,157017.97919699998,8874.0,0.8537802125985348,0.0,5200,8400,15000,31000,73000,109000,137000,146000,157000,157000,157000
,Aggregated,752,0,6600.0,27482.8004908657,582.734238,237246.36018300004,8519.554521276596,2.557939123004375,0.0,6600,14000,34000,53000,92000,114000,150000,192000,237000,237000,237000
