Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/web/index.php/auth/login,20,0,1500.0,2092.1533197500003,565.9827109999998,6845.331665000001,3461.0,0.06699235336434733,0.0,1500,2500,2700,3100,5600,6800,6800,6800,6800,6800,6800
POST,/web/index.php/auth/validate,20,0,17000.0,17852.480707950002,2034.171777,39779.365291999995,6790.0,0.06699235336434733,0.0,22000,24000,31000,32000,38000,40000,40000,40000,40000,40000,40000
GET,API: Get Leave Requests,438,0,5600.0,5995.682125360737,1289.742978999982,41682.707398000006,13323.0,1.4671325386792065,0.0,5700,6700,7300,7800,8800,10000,12000,15000,42000,42000,42000
GET,Page: View Leave List,448,0,3900.0,4319.2978341205335,619.9863449999991,14154.427327000001,8874.0,1.5006287153613802,0.0,3900,4700,5400,6000,7000,7800,10000,11000,14000,14000,14000
,Aggregated,926,0,4700.0,5356.422117870404,565.9827109999998,41682.707398000006,10816.464362850971,3.101745960769281,0.0,4700,5900,6700,7000,8300,9800,14000,22000,42000,42000,42000
